SYMBOL,NAME OF COMPANY
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
ABB,ABB India Limited
ABCAPITAL,Aditya Birla Capital Limited
ABFRL,Aditya Birla Fashion and Retail Limited
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
AMBUJACEM,Ambuja Cements Limited
ASIANPAINT,Asian Paints Limited
AXISBANK,Axis Bank Limited
BAJAJ-AUTO,Bajaj Auto Limited
BAJFINANCE,Bajaj Finance Limited
BHARTIARTL,Bharti Airtel Limited
BPCL,Bharat Petroleum Corporation Limited
BRITANNIA,Britannia Industries Limited
CIPLA,Cipla Limited
COALINDIA,Coal India Limited
DIVISLAB,Divi's Laboratories Limited
DRREDDY,Dr. Reddy's Laboratories Limited
GRASIM,Grasim Industries Limited
HCLTECH,HCL Technologies Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HEROMOTOCO,Hero MotoCorp Limited
HINDALCO,Hindalco Industries Limited
ICICIBANK,ICICI Bank Limited
INDUSINDBK,IndusInd Bank Limited
INFY,Infosys Limited
ITC,ITC Limited
KOTAKBANK,Kotak Mahindra Bank Limited
LT,Larsen & Toubro Limited
M&M,Mahindra & Mahindra Limited
MARUTI,Maruti Suzuki India Limited
NESTLEIND,Nestle India Limited
NTPC,NTPC Limited
ONGC,Oil & Natural Gas Corporation Limited
POWERGRID,Power Grid Corporation of India Limited
RELIANCE,Reliance Industries Limited
SBILIFE,SBI Life Insurance Company Limited
SBIN,State Bank of India
SUNPHARMA,Sun Pharmaceutical Industries Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
TATAMOTORS,Tata Motors Limited
TATAPOWER,Tata Power Company Limited
TCS,Tata Consultancy Services Limited
TECHM,Tech Mahindra Limited
TITAN,Titan Company Limited
ULTRACEMCO,UltraTech Cement Limited
WIPRO,Wipro Limited
